threshold	specificity	sensitivity	CtrlPCentile	CasePCentile	LRplus	LRminus	PPV
4.1335469138	0.218770467042882	0.917312661498708	21.8770467042882	8.26873385012919	1.17419096795597	0.377963898047922	0.00352073306416682
4.13459022480001	0.21878116002855	0.917312661498708	21.878116002855	8.26873385012919	1.1742070397742	0.377945424964844	0.00352078108477118
4.13498	0.218783833274967	0.917312661498708	21.8783833274967	8.26873385012919	1.1742110577975	0.37794080697622	0.00352079309012695
4.1352582816	0.218901456117323	0.917312661498708	21.8901456117323	8.26873385012919	1.1743878780505	0.377737727139533	0.00352132140684726
4.13541	0.218901456117323	0.917312661498708	21.8901456117323	8.26873385012919	1.1743878780505	0.377737727139533	0.00352132140684726
4.13581	0.219190166730379	0.917312661498708	21.9190166730379	8.26873385012919	1.17482211725931	0.377240182507839	0.00352261885671746
4.1358383232	0.219222245687385	0.917312661498708	21.9222245687385	8.26873385012919	1.17487038588375	0.377184980666632	0.00352276307683537
4.1361859202	0.219232938673054	0.917312661498708	21.9232938673054	8.26873385012919	1.17488647630664	0.377166583642822	0.00352281115283229
4.13624	0.219232938673054	0.917312661498708	21.9232938673054	8.26873385012919	1.17488647630664	0.377166583642822	0.00352281115283229
4.1365149675	0.219291750094232	0.917312661498708	21.9291750094232	8.26873385012919	1.17497498151125	0.377065432081965	0.00352307559427283
4.1367791052	0.219302443079901	0.917312661498708	21.9302443079901	8.26873385012919	1.17499107479927	0.377047046717877	0.00352312367880018
4.13772339820001	0.219313136065569	0.917312661498708	21.9313136065569	8.26873385012919	1.17500716852814	0.377028663146609	0.00352317176464011
4.13884211560001	0.219321155804821	0.917312661498708	21.9321155804821	8.26873385012919	1.17501923911412	0.377014876644538	0.00352320782988147
4.1396771952	0.21933184879049	0.917312661498708	21.933184879049	8.26873385012919	1.17503533361453	0.376996496210072	0.00352325591801854
4.14	0.219337195283324	0.917312661498708	21.9337195283324	8.26873385012919	1.17504338103008	0.376987306664893	0.00352327996257934
4.1404	0.221537277084664	0.917312661498708	22.1537277084664	8.26873385012919	1.17836427422418	0.373243454056229	0.0035332022315174
4.14048	0.221555989809585	0.917312661498708	22.1555989809585	8.26873385012919	1.17839260048301	0.373211929735491	0.00353328686475287
4.14082	0.221630840709266	0.917312661498708	22.1630840709266	8.26873385012919	1.17850591913814	0.373085885685742	0.00353362543824419
4.1411872717	0.221834007436972	0.917312661498708	22.1834007436972	8.26873385012919	1.17881360823463	0.372744194889891	0.00353454475060293
4.1413	0.221839353929806	0.917312661498708	22.1839353929806	8.26873385012919	1.17882170748579	0.372735211478554	0.00353456894949303
4.14162	0.221860739901143	0.917312661498708	22.1860739901143	8.26873385012919	1.17885410560337	0.372699282162927	0.00353466574836703
4.1428855861	0.221874106133229	0.917312661498708	22.1874106133229	8.26873385012919	1.17887435533121	0.372676829857922	0.0035347262503557
4.1435327686	0.221884799118898	0.917312661498708	22.1884799118898	8.26873385012919	1.17889055561437	0.372658869961541	0.00353477465343793
4.1447619175	0.221895492104567	0.917312661498708	22.1895492104567	8.26873385012919	1.17890675634279	0.372640911796109	0.0035348230578458
4.14498	0.221900838597401	0.917312661498708	22.1900838597401	8.26873385012919	1.17891485687398	0.37263193336242	0.00353484726054686
4.1452358801	0.22203450091826	0.917312661498708	22.203450091826	8.26873385012919	1.17911740633928	0.372407613048084	0.00353545243580624
4.14541	0.22203450091826	0.917312661498708	22.203450091826	8.26873385012919	1.17911740633928	0.372407613048084	0.00353545243580624
4.1455312094	0.222275093095806	0.917312661498708	22.2275093095806	8.26873385012919	1.1794821708233	0.372004516338911	0.00353654227361647
4.14581	0.222283112835058	0.917312661498708	22.2283112835058	8.26873385012919	1.17949433352623	0.371991094810018	0.00353657861311532
4.1460456485	0.222315191792064	0.917312661498708	22.2315191792064	8.26873385012919	1.17954298684646	0.371937418377738	0.0035367239785791
4.14624	0.222315191792064	0.917312661498708	22.2315191792064	8.26873385012919	1.17954298684646	0.371937418377738	0.0035367239785791
4.1464108512	0.222384696198911	0.917312661498708	22.2384696198911	8.26873385012919	1.17964841614454	0.371821172565457	0.00353703897808285
4.1471645425	0.22239538918458	0.917312661498708	22.239538918458	8.26873385012919	1.17966463770937	0.371803295043427	0.00353708744452531
4.1476487828	0.222406082170248	0.917312661498708	22.2406082170248	8.26873385012919	1.17968085972034	0.371785419240451	0.00353713591229601
4.1484229434	0.2224141019095	0.917312661498708	22.24141019095	8.26873385012919	1.17969302652136	0.371772013516199	0.00353717226399573
4.14976680960001	0.222424794895169	0.917312661498708	22.2424794895169	8.26873385012919	1.17970924931311	0.371754140720972	0.00353722073409099
4.15	0.222424794895169	0.917312661498708	22.2424794895169	8.26873385012919	1.17970924931311	0.371754140720972	0.00353722073409099
4.1501582699	0.224656955653515	0.917312661498708	22.4656955653515	8.26873385012919	1.18310555332561	0.368060442467757	0.00354736803161798
4.1504	0.224659628899932	0.917312661498708	22.4659628899932	8.26873385012919	1.18310963247948	0.36805606288134	0.00354738021897397
4.15048	0.224683688117687	0.917312661498708	22.4683688117687	8.26873385012919	1.18314634613021	0.368016651293267	0.00354748990894635
4.15082	0.224745172785282	0.917312661498708	22.4745172785282	8.26873385012919	1.18324018025707	0.367915971126508	0.00354777025858613
4.1509535987	0.225017843919835	0.917312661498708	22.5017843919835	8.26873385012919	1.18365649363909	0.367470139527025	0.00354901408247047
4.15122	0.225025863659086	0.917312661498708	22.5025863659086	8.26873385012919	1.18366874258521	0.367457043189325	0.00354905067872903
4.1513	0.225033883398338	0.917312661498708	22.5033883398338	8.26873385012919	1.18368099178485	0.367443947785077	0.00354908727574233
4.151807287	0.225047249630424	0.917312661498708	22.5047249630424	8.26873385012919	1.18370140768097	0.367422124185399	0.00354914827244177
4.1535392647	0.225057942616092	0.917312661498708	22.5057942616092	8.26873385012919	1.18371774090494	0.367404667172051	0.00354919707131093
4.1548001308	0.225068635601761	0.917312661498708	22.5068635601761	8.26873385012919	1.18373407457967	0.367387211817465	0.00354924587152202
4.15498	0.225068635601761	0.917312661498708	22.5068635601761	8.26873385012919	1.18373407457967	0.367387211817465	0.00354924587152202
4.1552078453	0.225218337401123	0.917312661498708	22.5218337401123	8.26873385012919	1.18396279336521	0.367143010890904	0.00354992921541148
4.15541	0.225218337401123	0.917312661498708	22.5218337401123	8.26873385012919	1.18396279336521	0.367143010890904	0.00354992921541148
4.1555227728	0.225557839696105	0.917312661498708	22.5557839696105	8.26873385012919	1.18448182255309	0.366590399219539	0.00355147991719561
4.15581	0.22556318618894	0.917312661498708	22.556318618894	8.26873385012919	1.18448999988075	0.366581709978286	0.00355150434853173
4.15612917250001	0.225597938392363	0.917312661498708	22.5597938392363	8.26873385012919	1.18454315526277	0.366525239949139	0.00355166316041017
4.15624	0.225597938392363	0.917312661498708	22.5597938392363	8.26873385012919	1.18454315526277	0.366525239949139	0.00355166316041017
4.15646394	0.22566744279921	0.917312661498708	22.566744279921	8.26873385012919	1.18464948034058	0.366412352068278	0.0035519808267802
4.15764	0.225672789292044	0.917312661498708	22.5672789292044	8.26873385012919	1.18465765998333	0.366403671265329	0.00355200526500854
4.1578617084	0.225688828770547	0.917312661498708	22.5688828770547	8.26873385012919	1.18468219958934	0.366377631324226	0.00355207858171127
4.15853	0.225696848509799	0.917312661498708	22.5696848509799	8.26873385012919	1.1846944697736	0.3663646127416	0.00355211524119764
4.15891	0.22570486824905	0.917312661498708	22.570486824905	8.26873385012919	1.18470674021203	0.366351595084125	0.00355215190144072
4.15975	0.225715561234719	0.917312661498708	22.5715561234719	8.26873385012919	1.184723101192	0.366334239646447	0.00355220078294194
4.16	0.225720907727553	0.917312661498708	22.5720907727553	8.26873385012919	1.18473128185144	0.366325562544238	0.00355222522419706
4.1604	0.227803366686538	0.914728682170543	22.7803366686538	8.52713178294574	1.18457999259267	0.374319831483406	0.00355177321895466
4.16048	0.227824752657875	0.914728682170543	22.7824752657875	8.52713178294574	1.18461280042205	0.374284693979277	0.00355187123857787
4.160782755	0.227896930311139	0.914728682170543	22.7896930311139	8.52713178294574	1.18472354026407	0.374166153589869	0.00355220209475218
4.16082	0.227899603557556	0.914728682170543	22.7899603557556	8.52713178294574	1.18472764213732	0.374161764647046	0.00355221434986829
4.1610914948	0.228129502749434	0.914728682170543	22.8129502749434	8.52713178294574	1.18508050952698	0.373784700364315	0.00355326860628852
4.1612109685	0.228137522488685	0.914728682170543	22.8137522488685	8.52713178294574	1.18509282264875	0.373771560676462	0.00355330539397095
4.1613	0.228140195735103	0.914728682170543	22.8140195735103	8.52713178294574	1.18509692707954	0.373767180985798	0.00355331765670103
4.16192863000001	0.228158908460023	0.914728682170543	22.8158908460023	8.52713178294574	1.1851256588911	0.373736526024792	0.00355340349818159
4.16357023880001	0.228169601445692	0.914728682170543	22.8169601445692	8.52713178294574	1.18514207769465	0.373719011161763	0.00355345255231837
4.16458033310001	0.228177621184943	0.914728682170543	22.8177621184943	8.52713178294574	1.18515439209586	0.37370587609178	0.00355348934380978
4.1648188268	0.228188314170612	0.914728682170543	22.8188314170612	8.52713178294574	1.18517081169557	0.373688364101335	0.00355353840031678
4.16498	0.228190987417029	0.914728682170543	22.8190987417029	8.52713178294574	1.18517491666659	0.373683986360164	0.00355355066465516
4.16541	0.228346035709226	0.914728682170543	22.8346035709226	8.52713178294574	1.18541305364934	0.373430252750441	0.00355426214115682
4.16546	0.22866415203287	0.914728682170543	22.866415203287	8.52713178294574	1.18590194476417	0.372910738615468	0.00355572278694911
4.16567	0.228674845018539	0.914728682170543	22.8674845018539	8.52713178294574	1.18591838508434	0.372893301064856	0.00355577190514202
4.16581	0.228685538004208	0.914728682170543	22.8685538004208	8.52713178294574	1.18593482586034	0.372875865144951	0.00355582102469197
